id,name,faction,price,turn,accel,max_speed,armor,free_mass,parent,max_cargo,scene,standoff,joust,wimpy,subtitle,readout,icon,upgrades,desc
0,Shuttle,1,2000,3,1,100,10,15,,10,gameplay/ships/shuttle.tscn,FALSE,FALSE,TRUE,Stock,sprites/onyx_cc_nc/readout/0.png,sprites/onyx_cc_nc/icons/0.bmp,0x1,The shortest path between you and intergalactic travel. 
1,Ringer,0,5000,2.7,0.8,120,20,25,,40,gameplay/ships/ringer.tscn,FALSE,FALSE,FALSE,Annular Drive,sprites/onyx_cc_nc/readout/1.png,sprites/onyx_cc_nc/icons/1.bmp,0x2,"Unconventional, uncompromising design."
2,Anvil,0,100000,0.7,0.5,75,45,75,,100,gameplay/ships/anvil.tscn,TRUE,FALSE,FALSE,2310 Version,sprites/onyx_cc_nc/readout/2.png,sprites/onyx_cc_nc/icons/2.bmp,3x3 6x1,This reliable old workhorse was conquering planets while you learned to walk
3,Vespid,2,3600,4,1.5,135,15,25,,15,gameplay/ships/vespid.tscn,FALSE,TRUE,FALSE,2345 Upgrade,sprites/onyx_cc_nc/readout/3.png,sprites/onyx_cc_nc/icons/3.bmp,1x2,Rugged first-string fighter of the Compact.
4,Corsair,3,5000,2.3,0.7,111,40,45,,40,gameplay/ships/corsair.tscn,TRUE,FALSE,FALSE,Hotrodded,sprites/onyx_cc_nc/readout/4.png,sprites/onyx_cc_nc/icons/4.bmp,0x3,A ruthless ship for ruthless people.
5,Cantwell,4,5000,3,0.9,130,20,25,,40,gameplay/ships/cantwell.tscn,FALSE,FALSE,FALSE,Pocket Corvette,sprites/onyx_cc_nc/readout/5.png,sprites/onyx_cc_nc/icons/5.bmp,0x2,WarpCorp’s base model corvette.
6,Lovelace,5,200000,0.8,0.5,80,100,100,,100,gameplay/ships/lovelace.tscn,TRUE,FALSE,FALSE,General Services,sprites/onyx_cc_nc/readout/6.png,sprites/onyx_cc_nc/icons/6.bmp,1x3 5x1,"The Lovelace is unique mostly for its degree of automation. The AI runs the ship, so it can be operated with a skeleton crew if needed."
7,Harrier,0,2000,4.3,1.6,140,10,20,,10,gameplay/ships/harrier.tscn,FALSE,TRUE,FALSE,2311 Upgrade,sprites/onyx_cc_nc/readout/7.png,sprites/onyx_cc_nc/icons/7.bmp,0x2,"Old technolgy in a still-competitive package. The Compact has all but phased this fighter out, but you can still find examples on the civilian market and in the hands of independent planets."
8,Superhauler,1,200000,0.6,0.5,68,100,30,,300,gameplay/ships/superhauler.tscn,TRUE,FALSE,TRUE,Cargo Megaship,sprites/onyx_cc_nc/readout/8.png,sprites/onyx_cc_nc/icons/8.bmp,3x2,"Superhaulers are the biggest cargo ship you can get. Though it’s the largest ship in production, it’s size is deceptive – in order to reach the cargo sections, you need to spacewalk across the frame."
9,Flathead,2,5000,3,0.7,90,20,20,,25,gameplay/ships/flathead.tscn,TRUE,FALSE,FALSE,Gunship,sprites/onyx_cc_nc/readout/9.png,sprites/onyx_cc_nc/icons/9.bmp,1x3 6x1,"The versitile flathead might not be suited to dogfighting, but it’s much better at almost everything else."
10,Sledge,0,50000,0.85,0.6,85,45,55,,60,gameplay/ships/sledge.tscn,TRUE,FALSE,FALSE,Slam Drive,sprites/onyx_cc_nc/readout/10.png,sprites/onyx_cc_nc/icons/10.bmp,3x3,"A big monolithic engine, big monolithic hull, big monolithic everything. This slab of a ship has stuck around for a long time and shows no sign of stopping. Crews may swear at its unreliable electronics or tight corridors, but they swear by its battering-ram hull and simplicity of maintenance."
11,Screamer,4,10000,1.5,0.75,110,30,25,,30,gameplay/ships/screamer.tscn,FALSE,TRUE,FALSE,Beam Boat,sprites/onyx_cc_nc/readout/11.png,sprites/onyx_cc_nc/icons/11.png,4x1 3x2,"If WarpCorp has a special sauce, this is it. Most ships start with a spaceframe, engine, or cargo configuration and work from there. The Screamer was built around its massive beam. It’s got one job, as they say."
12,Strix,0,100000,2.6,0.7,118,40,55,,45,gameplay/ships/strix.tscn,TRUE,FALSE,FALSE,Escort,sprites/onyx_cc_nc/readout/12.png,sprites/onyx_cc_nc/icons/12.bmp,3x3,"The long, sleek Strix is ostensibly a civilian ship, but its armament might suggest otherwise. A symbol of an increasingly dangerous galaxy. Built to stand up against pirates and Compact patrols."
13,Raptor,2,100000,2.5,0.6,109,55,50,,25,gameplay/ships/raptor.tscn,FALSE,true,FALSE,Supercorvette,sprites/onyx_cc_nc/readout/13.png,sprites/onyx_cc_nc/icons/13.bmp,0x4,"The Compact’s ace in the hole. Faster than it’s got any right to be at its size and overarmed, the Raptor is a ship to be feared (and best engaded from far away.)"
14,Franklin,5,9000,4.4,1.4,135,25,35,,10,gameplay/ships/franklin.tscn,FALSE,TRUE,FALSE,Strike Fighter,sprites/onyx_cc_nc/readout/14.png,sprites/onyx_cc_nc/icons/14.bmp,1x2,The Franklin is named for the mythical hero who stole electricity from the gods.
15,Khwarizmi,5,9000,4,0.7,100,30,40,,10,gameplay/ships/khwarizmi.tscn,TRUE,FALSE,FALSE,Bomber,sprites/onyx_cc_nc/readout/15.png,sprites/onyx_cc_nc/icons/15.bmp,6x1,A big sloped sheet of frontal armor sets the tone for this bruiser.
16,Lunker,1,8000,0.5,0.5,75,50,10,,150,gameplay/ships/lunker.tscn,TRUE,FALSE,TRUE,Cargo Minmaxed,sprites/onyx_cc_nc/readout/16.png,sprites/onyx_cc_nc/icons/16.bmp,3x1,"Lunker captains don’t like the name, but what are they going to do about it? This ship has very little to recommend it besides its huge cargo section. The tiny crew section is unbelievably cramped and if you should find yourself in pirate space, you’d better be good at talking your way out of truble. You certainly won’t be flying or shooting your way out."
17,Mako,0,7000,3.2,0.9,125,20,20,,30,gameplay/ships/mako.tscn,FALSE,TRUE,FALSE,VTOL Spaceplane,sprites/onyx_cc_nc/readout/17.png,sprites/onyx_cc_nc/icons/17.bmp,0x2,"The Mako really shines in atmosphere, but you’re here for microgravity performance, we get that. It’s often used as a yacht or executive transport, but once they get enough lightyears on them they pop up on the secondary market, where they make a passable courier. They also make a solid if small contribution to planetary defense forces."
18,Pacer,1,5000,2.4,0.6,116,25,20,,50,gameplay/ships/pacer.tscn,TRUE,TRUE,FALSE,Fast Cargo,sprites/onyx_cc_nc/readout/18.png,sprites/onyx_cc_nc/icons/18.bmp,0x2,Frequent contender for the ten-star grand prix. Substantial cargo capacity and big enough engines to fly it into next week.
